Name,Name clean,GCAP ID,Website,LEI (if applicable),Country of HQ,UN Region,Parent company (if applicable),Annual Revenue in USD (if applicable),Type,Sector (if applicable),Assets Under Mgt. (if financial institution),Join Date (DD/MM/YYYY),Where did they publish in 2022?,Where did they publish in 2023?,Partner comment,Partner comment (Sep-24),Update round,Business Declares,Cities Race to Zero,Climate Action Accelerator,Exponential Roadmap Iniative,Fashion Industry Charter for Climate Action,Health Care without Harm,International Wineries for Climate Action (IWCA),Japan Climate Initiative (JCI),National Parks UK,Net Zero Asset Managers Initiative,Net Zero Banking Alliance,Net Zero Investment Consultants (NZIC),Net-Zero Asset Owner Alliance (NZAOA),Net-Zero Export Credit Agencies Alliance (NZECA),Paris Aligned Asset Owners (PAAO),Planet Mark,Pledge to Net Zero,Race to Zero for Universities and Colleges,SBTi,Scotch Whisky Association (SWA),SME Climate Hub,Sports for Climate Action Framework,Tech Zero,The Exchange Group - Net Zero Financial Services Providers Alliance Exchange Group (NZFSPA),Under 2 Coalition,Venture Climate Alliance (VCA)
Hymans Robertson LLP,hymans robertson,,https://www.hymans.co.uk/,,United Kingdom,Western European and Others Group (WEOG),,<250M,Financial Institution,Services,£270bn assets under advice,,Own Website,,£270bn assets under advice,,Jul-24,,,,,,,,,,,,Yes,,,,,,,,,,,,,,
Old Mutual Investment Group,old investment,,https://www.oldmutualinvest.com/institutional,,South Africa,African Group,,,Financial Institution,,,09/02/2022,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
BBGI Global Infrastructure S.A,bbgi global infrastructure,GCAP29285,https://www.bb-gi.com/,,Luxembourg,Western European and Others Group (WEOG),,,Financial Institution,,,09/12/2021,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
UBP Asset Management (Europe),ubp asset management europe,GCAP30970,https://www.ubp.com/en/our-offices/ubp-asset-management-europe-sa,,Switzerland,Western European and Others Group (WEOG),,,Financial Institution,,,09/12/2021,CDP,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
Unitec Inc.,unitec,,http://www.unitecus.com,,United States of America,Western European and Others Group (WEOG),,,SME,Telecommunication,,14/09/2023,,,Other,,Nov-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Terra Alpha Investments LLC,terra alpha investments,GCAP16847,https://terraalphainvestments.com/,,United States of America,Western European and Others Group (WEOG),,,Financial Institution,,,08/09/2021,CDP,,,,,,,,,,,,,,Yes,,,,,,,,,Yes,,,,,,,
Victory Hill Capital Advisors LLP,victory hill capital advisors,GCAP33164,https://victory-hill.com/,,United Kingdom,Western European and Others Group (WEOG),,,Financial Institution,,,08/06/2022,,,,,,,,,,,,,,,Yes,,,,,,,,,Yes,,,,,,,
Kieger AG,kieger,GCAP30096,https://kieger.com/,,Switzerland,Western European and Others Group (WEOG),,,Financial Institution,,,08/12/2021,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
V-Square Quantitative Management LLC,v-square quantitative management,GCAP31050,https://www.vsqm.com/,,United States of America,Western European and Others Group (WEOG),,,Financial Institution,,,08/12/2021,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
ZeroCarbon Industry Operation Center,zerocarbon industry operation center,,https://zcioc.com/,,China,Asia-Pacific Group,,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,31/08/2023,,,,,Nov-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Manor Hotel (Stornoway) Limited,manor hotel stornoway,,https://www.cabarfeidh-hotel.co.uk/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Hotels and similar accommodation,,30/08/2023,,,,,Nov-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
nPlan Limited,nplan,,https://nplan.io,,United Kingdom,Western European and Others Group (WEOG),,,SME,Information technology (IT) software and computer related activities,,30/08/2023,,,,,Nov-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Alba Gaskets Limited,alba gaskets,,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Metal products manufacturing,,29/08/2023,,,,,Nov-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Aquaterra Energy Ltd,aquaterra energy,,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Machinery and equipment rental,,17/08/2023,,,,,Nov-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Mason Advisory Ltd,mason advisory,,https://www.masonadvisory.com/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,17/08/2023,,,,,Nov-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Findlay Park Partners,findlay partners,GCAP29757,https://www.findlaypark.com/,,United Kingdom,Western European and Others Group (WEOG),,,Financial Institution,,,07/12/2021,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
"Meiji Holdings Co., Ltd.",meiji,GCAP1758,https://www.meiji.com/global/,,Japan,Asia-Pacific Group,,,Company,No sector specified,,07/07/2021,CDP,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,
WeCare4Air,wecare4air,,http://wecare4air.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Electrical machinery and apparaturs manufacturing,,25/07/2023,,,,,Nov-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Positive Impact Events,positive impact events,,http://www.positiveimpactevents.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Creative arts and entertainment activities,,20/07/2023,,,Other,,Nov-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Corinthian Ltd,corinthian,,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Paper and paper products manufacturing,,18/07/2023,,,,,Nov-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
GreenGold Ventures Pte Ltd,greengold ventures,,,,Singapore,Asia-Pacific Group,,,SME,Research and development,,13/07/2023,,,,,Nov-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
SLC Management Fixed Income,slc management fixed income,GCAP33160,https://www.slcmanagement.com/us/en/investments/public-fixed-income/,,Canada,Western European and Others Group (WEOG),,,Financial Institution,,,06/10/2022,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
Affirmative Investment Management,affirmative investment management,GCAP25123,,,United Kingdom,Western European and Others Group (WEOG),,,Financial Institution,,,06/07/2021,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
Aktie-Ansvar AB,aktie-ansvar,GCAP25124,http://www.aktieansvar.se/,,Sweden,Western European and Others Group (WEOG),,,Financial Institution,,,06/07/2021,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
Amundi Asset Management,amundi asset management,GCAP25125,https://about.amundi.com/,,France,Western European and Others Group (WEOG),,,Financial Institution,,,06/07/2021,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
Ashmore Group,ashmore,GCAP25126,https://www.ashmoregroup.com/en-gb,,United Kingdom,Western European and Others Group (WEOG),,,Financial Institution,,,06/07/2021,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
Asteria Investment Managers,asteria investment managers,GCAP25127,https://asteriaobviam.com/,,Switzerland,Western European and Others Group (WEOG),,,Financial Institution,,,06/07/2021,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
Brandywine Global Asset Management,brandywine global asset management,GCAP25128,https://brandywineglobal.com/,,United States of America,Western European and Others Group (WEOG),,,Financial Institution,,,06/07/2021,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
BT Funds Management NZ,funds management nz,GCAP25129,https://www.btonline.co.nz/,,New Zealand,Western European and Others Group (WEOG),,,Financial Institution,,,06/07/2021,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
Clearbridge Investments LCC,clearbridge investments lcc,GCAP16763,https://www.clearbridge.com/,,United States of America,Western European and Others Group (WEOG),,,Financial Institution,,,06/07/2021,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
DIF Capital Partners represented by DIF Management BV,dif capital partners represented dif management,GCAP25130,https://www.dif.eu/,,Netherlands,Western European and Others Group (WEOG),,,Financial Institution,,,06/07/2021,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
DSC Meridian,dsc meridian,GCAP25131,https://dscmeridiancapital.com/,,United States of America,Western European and Others Group (WEOG),,,Financial Institution,,,06/07/2021,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
Evenlode Investment Management,evenlode investment management,GCAP25132,https://evenlodeinvestment.com/,,United Kingdom,Western European and Others Group (WEOG),,,Financial Institution,,,06/07/2021,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
Fiera Capital Corporation,fiera capital,GCAP25133,https://www.fieracapital.com/en,,Canada,Western European and Others Group (WEOG),,,Financial Institution,,,06/07/2021,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
Franklin Templeton,franklin templeton,GCAP25134,https://www.franklintempleton.com/,,United States of America,Western European and Others Group (WEOG),,,Financial Institution,,,06/07/2021,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
GAM Investments,gam investments,GCAP16951,https://www.gam.com/en/,,Ireland,Western European and Others Group (WEOG),,,Financial Institution,,,06/07/2021,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
HSBC Asset Management,hsbc asset management,GCAP25136,https://www.assetmanagement.hsbc.com/about-us,,United Kingdom,Western European and Others Group (WEOG),,,Financial Institution,,,06/07/2021,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
InfraRed Capital Partners Limited,infrared capital partners,GCAP25137,https://www.ircp.com/,,United Kingdom,Western European and Others Group (WEOG),,,Financial Institution,,,06/07/2021,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
Investible,investible,GCAP25139,https://www.investible.com/,,Australia,Western European and Others Group (WEOG),,,Financial Institution,,,06/07/2021,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
Jyske Capital,jyske capital,GCAP25140,https://jyskecapital.com/,,Denmark,Western European and Others Group (WEOG),,,Financial Institution,,,06/07/2021,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
KBI Global Investors,kbi global investors,GCAP16296,https://www.kbiglobalinvestors.com/,,Ireland,Western European and Others Group (WEOG),,,Financial Institution,,,06/07/2021,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
Kerogen Capital,kerogen capital,GCAP25141,https://kerogencap.com/en/,,China,Asia-Pacific Group,,,Financial Institution,,,06/07/2021,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
La Francaise Group,francaise,GCAP16186,https://www.la-francaise.com/en/,,France,Western European and Others Group (WEOG),,,Financial Institution,,,06/07/2021,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
LocalTapiola Asset Management,localtapiola asset management,GCAP16144,https://www.lahitapiola.fi/en/information-on-localtapiola/companies/localtapiola-asset-management-/introduction,,Finland,Western European and Others Group (WEOG),,,Financial Institution,,,06/07/2021,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
Man Group plc,man,GCAP16942,https://www.man.com/,,United Kingdom,Western European and Others Group (WEOG),,,Financial Institution,,,06/07/2021,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
Martin Currie Investment Management Limited,martin currie investment management,GCAP25142,https://www.martincurrie.com/north-america,,United Kingdom,Western European and Others Group (WEOG),,,Financial Institution,,,06/07/2021,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
Meridiam,meridiam,GCAP16211,https://www.meridiam.com/,,France,Western European and Others Group (WEOG),,,Financial Institution,,,06/07/2021,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
MFS Investment Management,mfs investment management,GCAP25143,https://www.mfs.com/,,United States of America,Western European and Others Group (WEOG),,,Financial Institution,,,06/07/2021,CDP,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
Ninety One,ninety one,GCAP25144,https://ninetyone.com/,,United Kingdom,Western European and Others Group (WEOG),,,Financial Institution,,,06/07/2021,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
Ownership Capital,ownership capital,GCAP15780,https://www.ownershipcapital.com/,,Netherlands,Western European and Others Group (WEOG),,,Financial Institution,,,06/07/2021,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
Payden & Rygel,payden rygel,GCAP25145,https://www.payden.com/,,United Kingdom,Western European and Others Group (WEOG),,,Financial Institution,,,06/07/2021,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
RAM Active Investments SA,ram active investments,GCAP25146,https://www.ram-ai.com/en,,Switzerland,Western European and Others Group (WEOG),,,Financial Institution,,,06/07/2021,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
River and Mercantile Group PLC,river mercantile,GCAP25147,https://riverandmercantile.com/,,United Kingdom,Western European and Others Group (WEOG),,,Financial Institution,,,06/07/2021,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
Shinhan Asset Management Co. Ltd,shinhan asset management,GCAP25148,https://www.shinhanfund.com/en/pc/main,,South Korea,Asia-Pacific Group,,,Financial Institution,,,06/07/2021,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
Sumitomo Mitsui Trust Asset Management,sumitomo mitsui asset management,GCAP25149,https://www.sumitrust-am.com/,,Japan,Asia-Pacific Group,,,Financial Institution,,,06/07/2021,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
Swisscanto Invest by Zurcher Kantonal Bank,swisscanto invest zurcher kantonal,GCAP25150,https://www.swisscanto.com/int/en.html,,Switzerland,Western European and Others Group (WEOG),,,Financial Institution,,,06/07/2021,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
The International Business of Federated Hermes,federated hermes,GCAP25151,https://www.hermes-investment.com/,,United Kingdom,Western European and Others Group (WEOG),,,Financial Institution,,,06/07/2021,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
Troy Asset Management,troy asset management,GCAP25152,https://www.taml.co.uk/,,United Kingdom,Western European and Others Group (WEOG),,,Financial Institution,,,06/07/2021,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
Vista Equity Partners,vista equity partners,GCAP25153,https://www.vistaequitypartners.com/,,United Kingdom,Western European and Others Group (WEOG),,,Financial Institution,,,06/07/2021,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
Willis Towers Watson,willis towers watson,GCAP17528,https://www.wtwco.com/,,United Kingdom,Western European and Others Group (WEOG),,,Financial Institution,,,06/07/2021,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
Frontier lnvestment Management ApS,frontier lnvestment management,GCAP31588,https://frontierinvest.com/,,Denmark,Western European and Others Group (WEOG),,,Financial Institution,,,06/04/2021,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
Baker & Bellfield Limited,baker bellfield,,http://www.bakerbellfield.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other transport equipment manufacturing,,29/06/2022,,,Other,,Nov-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Successful Learning Solutions,successful learning solutions,,https://www.successfullearningsolutions.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,27/06/2023,,,,,Nov-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Modern Synthesis,modern synthesis,,https://www.modernsynthesis.com/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Textile manufacturing,,21/06/2023,,,,,Nov-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
GridDuck (DuckDuck Ltd),gridduck duckduck,GCAP22939,http://gridduck.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Information technology,,21/06/2021,,,,,Nov-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Lito Moravia,lito moravia,,,,Costa Rica,Latin American and Caribbean Group (GRULAC),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,22/05/2023,,,,,Nov-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
One Planet Limited,one planet,GCAP21910,http://www.oneplanet.biz,,United Kingdom,Western European and Others Group (WEOG),,,SME,Consultancy services other than legal,,20/05/2021,,,,,Nov-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Koskela,koskela,,https://koskela.com.au/,,Australia,Western European and Others Group (WEOG),,,SME,Furniture manufacturing,,18/05/2023,,,,,Nov-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Castleforge Partners,castleforge partners,GCAP32911,https://castleforge.com/,,United Kingdom,Western European and Others Group (WEOG),,,Financial Institution,,,04/05/2022,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
Sustainable Development Capital LLP,sustainable development capital,GCAP30794,https://www.sdclgroup.com/,,United Kingdom,Western European and Others Group (WEOG),,,Financial Institution,,,03/11/2021,,,,,,,,,,,,,,,Yes,,,,,,,,,,,Yes,,,,,
zCapital,zcapital,GCAP31205,https://www.zcg.com/,,Switzerland,Western European and Others Group (WEOG),,,Financial Institution,,,03/03/2022,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
SG29 Haussman,sg29 haussman,GCAP33159,https://sg29haussmann.societegenerale.fr/en/,,France,Western European and Others Group (WEOG),,,Financial Institution,,,03/06/2022,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
INOKS Capital,inoks capital,GCAP30002,https://www.inokscapital.ch/,,Switzerland,Western European and Others Group (WEOG),,,Financial Institution,,,03/12/2021,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
Nutshell Asset Management,nutshell asset management,GCAP30374,https://www.nutshellam.com/,,United Kingdom,Western European and Others Group (WEOG),,,Financial Institution,,,03/12/2021,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
AllianceBernstein,alliancebernstein,GCAP16742,https://www.alliancebernstein.com/,,United States of America,Western European and Others Group (WEOG),,,Financial Institution,,,31/05/2022,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
First Sentier Investors,first sentier investors,GCAP31209,https://www.firstsentierinvestors.com/,,Australia,Western European and Others Group (WEOG),,,Financial Institution,,,31/03/2022,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
Alisons,alisons,,http://alisonsconsult.com,,Canada,Western European and Others Group (WEOG),,,SME,Manufacturing - Other,,31/12/2023,Did not - joined less than 12 months ago,,,,Apr-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
I D Promotional Services,d promotional services,GCAP29959,http://www.idpro.biz,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,31/12/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Evotec SE,evotec,GCAP20072,evotecserramenti.it,529900F9KI6OYITO9B12,Germany,Western European and Others Group (WEOG),,,Company,"Biotech, health care & pharma",,31/12/2020,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Proximus,proximus,GCAP2143,proximus.be,549300CWRXC5EP004533,Belgium,Western European and Others Group (WEOG),,,Company,Services,,31/12/2020,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Science Card,science card,,http://www.science-card.com,,United Kingdom,Western European and Others Group (WEOG),,,Company,Other,,31/10/2023,Did not - joined less than 12 months ago,,,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,
ALLpaQ,allpaq,,https://allpaq.com/,,United Kingdom,Western European and Others Group (WEOG),,,Company,Manufacturing,,31/10/2022,Did not - joined less than 12 months ago,,,,Mar-23,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
ghealth,ghealth,,,,China,Asia-Pacific Group,,,SME,Services,,31/10/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
HLW,hlw,,http://hlw.design,,United States of America,Western European and Others Group (WEOG),,,SME,Services,,31/10/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Institute for Sustainable Leadership,institute sustainable leadership,,,,Australia,Western European and Others Group (WEOG),,,SME,Services,,31/10/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
"NeuroMed Research Initiative, LLC.",neuromed research initiative,,https://nmri.tech,,United States of America,Western European and Others Group (WEOG),,,SME,Other,,31/10/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Oldham 6th Form College,oldham 6th form college,,https://www.osfc.ac.uk/,,United Kingdom,Western European and Others Group (WEOG),,,Higher Education,,,31/10/2022,Did not - joined less than 12 months ago,,,,Mar-24,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
This is Jungle Limited,this is jungle,,http://www.thisisjungle.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Infrastructure,,31/10/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
V.O.F. Supermarkt Odoorn,supermarkt odoorn,,http://www.supermarktodoorn.nl/,,Netherlands,Western European and Others Group (WEOG),,,SME,Retail,,31/10/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Aquavita LLC,aquavita,GCAP29196,https://aquavitallc.com/,,Kenya,African Group,,,SME,Other,,31/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Barnsley College,barnsley college,GCAP29276,https://www.barnsley.ac.uk/,,United Kingdom,Western European and Others Group (WEOG),,,Higher Education,,,31/10/2021,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
BBC Sport,bbc sport,GCAP19630,https://www.bbc.com/sport,,United Kingdom,Western European and Others Group (WEOG),,,Company,No sector specified,,31/10/2021,Other,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
DataGardener Solutions Limited,datagardener solutions,GCAP24817,https://datagardener.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,31/10/2021,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,
Fluid Maintenance Solutions Ltd,fluid maintenance solutions,GCAP29770,http://www.fluidmaintenancesolutions.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,31/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
GM Garden Design and Maintenance,gm garden design maintenance,GCAP29832,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,31/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Halifax,halifax,GCAP4170,,,Canada,Western European and Others Group (WEOG),,,City,,,31/10/2021,CDP-ICLEI Track,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,
Ibn Tofail University,ibn tofail university,GCAP29963,https://www.uit.ac.ma/,,Morocco,African Group,,,Higher Education,,,31/10/2021,Own Website,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
Kickstarter,kickstarter,GCAP18719,http://kickstarter.com,,United States of America,Western European and Others Group (WEOG),,,SME,Other,,31/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Nordic Enterprise Trust,nordic,GCAP30355,https://nordicenterprisetrust.wordpress.com/blog/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,31/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Prophecy Consultants Ltd.,prophecy consultants,GCAP30511,http://prophecyconsultantsltd.com/,,Bangladesh,Asia-Pacific Group,,,SME,Other,,31/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Zephyr Environmental,zephyr environmental,GCAP31134,http://www.zephyrenviro.com,,Australia,Western European and Others Group (WEOG),,,SME,Other,,31/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Elevate Textiles,elevate textiles,GCAP17324,https://www.elevatetextiles.com/home/sustainability/,,United States of America,Western European and Others Group (WEOG),,,Company,Apparel,,31/10/2019,CDP,,,,,,,,,Yes,,,,,,,,,,,,,,Yes,,,,,,,
Centrais Elétricas Brasileiras S.A. - Eletrobras,centrais elétricas brasileiras eletrobras,,https://eletrobras.com/en/Paginas/Home.aspx,,Brazil,Latin American and Caribbean Group (GRULAC),,,Company,"Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)",,31/08/2023,,,Net-zero commitment,,Oct-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
NAV CANADA,nav canada,,https://www.navcanada.ca/,549300TP61Y7H5IS3S18,Canada,Western European and Others Group (WEOG),,,Company,Aerospace and Defense,,31/08/2023,,,Net-zero commitment,,Oct-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Pioneer Denim Limited,pioneer denim,,https://pioneerdenim.com/,,Bangladesh,Asia-Pacific Group,,,Company,"Textiles, Apparel, Footwear and Luxury Goods",,31/08/2023,,,Net-zero commitment,,Oct-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Albert Park Hotel,albert hotel,GCAP33475,https://www.thealbertpark.com.au/,,Australia,Western European and Others Group (WEOG),,,SME,Hospitality,,31/08/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Cognitas Global Ltd,cognitas global,GCAP33476,https://cognitasglobal.com/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,31/08/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Delivery Direct Logistics Ltd,delivery direct logistics,GCAP33571,http://www.delivery-direct.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Transportation services,,31/08/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Exilior Coffee,exilior coffee,GCAP22533,,,United States of America,Western European and Others Group (WEOG),,,SME,Retail,,31/08/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
hewett recruitment,hewett recruitment,GCAP33497,http://www.hewett-recruitment.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,31/08/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Imaginneurs,imaginneurs,,,,Oman,Asia-Pacific Group,,,SME,Services,,31/08/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Polka Dot Translations,polka dot translations,GCAP33381,https://linktr.ee/polkadottranslations,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,31/08/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Terran Industries Pty Ltd,terran industries,GCAP33432,https://terranindustries.com.au/,,Australia,Western European and Others Group (WEOG),,,SME,Services,,31/08/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Agile 451,agile 451,GCAP24482,https://www.agile451.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,31/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Ajax,ajax,GCAP24131,,,Canada,Western European and Others Group (WEOG),,,City,,,31/08/2021,CDP-ICLEI Track,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,
ALL TERRAIN TRAINING LTD,all terrain training,GCAP24679,http://www.allterraintraining.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,31/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Anton Dell,anton dell,GCAP24660,http://www.antondell.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Retail,,31/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Centerprise International Ltd,centerprise,GCAP24676,http://www.centerprise.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,31/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Climate Business,climate,GCAP24727,https://www.climatebusiness.partners/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,31/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
