Name,Name clean,GCAP ID,Website,LEI (if applicable),Country of HQ,UN Region,Parent company (if applicable),Annual Revenue in USD (if applicable),Type,Sector (if applicable),Assets Under Mgt. (if financial institution),Join Date (DD/MM/YYYY),Where did they publish in 2022?,Where did they publish in 2023?,Partner comment,Partner comment (Sep-24),Update round,Business Declares,Cities Race to Zero,Climate Action Accelerator,Exponential Roadmap Iniative,Fashion Industry Charter for Climate Action,Health Care without Harm,International Wineries for Climate Action (IWCA),Japan Climate Initiative (JCI),National Parks UK,Net Zero Asset Managers Initiative,Net Zero Banking Alliance,Net Zero Investment Consultants (NZIC),Net-Zero Asset Owner Alliance (NZAOA),Net-Zero Export Credit Agencies Alliance (NZECA),Paris Aligned Asset Owners (PAAO),Planet Mark,Pledge to Net Zero,Race to Zero for Universities and Colleges,SBTi,Scotch Whisky Association (SWA),SME Climate Hub,Sports for Climate Action Framework,Tech Zero,The Exchange Group - Net Zero Financial Services Providers Alliance Exchange Group (NZFSPA),Under 2 Coalition,Venture Climate Alliance (VCA),Partners
Climbing Trees,climbing trees,GCAP21991,www.climbingtrees.com/,995650762,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,31/05/2021,,Other,,Progress published in SME Climate Hub.,Sep-24,Yes,,,,,,,,,,,,,,,,,,,,Yes,,,,,,"Business Declares, SME Climate Hub"
Olio,olio,,olioapp.com,,United Kingdom,Western European and Others Group (WEOG),,,Company,Services,,19/07/2024,,Own Website,,,Sep-24,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Business Declares
Sustain Quality,sustain quality,,sustainquality.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,30/07/2024,,Did not - joined less than 12 months ago,,,Sep-24,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Business Declares
Forsters LLP Solicitors,forsters solicitors,,www.forsters.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,Company,Services,,16/11/2021,,Own Website,,,Sep-24,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Business Declares
Speedy Hire Plc,speedy hire,,https://www.speedyservices.com/,213800U78SIYAZDYXM61,United Kingdom,Western European and Others Group (WEOG),,250M - 500M,Company,"Trading Companies and Distributors, and Commercial Services and Supplies",,28/05/2024,,CDP,Targets set,,Sep-24,,,,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,"Exponential Roadmap Iniative, SBTi"
Akbank,akbank,,https://www.bing.com/ck/a?!&&p=082ea8f97df7d267JmltdHM9MTcyNzc0MDgwMCZpZ3VpZD0xYWUwYjFmZS04NGE5LTZkNWQtMmNkOS1hM2U5ODVhMjZjMTgmaW5zaWQ9NTYwNw&ptn=3&ver=2&hsh=3&fclid=1ae0b1fe-84a9-6d5d-2cd9-a3e985a26c18&psq=akbank&u=a1aHR0cHM6Ly93d3cuYWtiYW5rLmNvbS90ci10ci9zYXlmYWxhci9kZWZhdWx0LmFzcHg&ntb=1,,Turkey,Eastern European Group,,,Financial Institution,,55087000000,29/12/2023,,Own Website,,,Sep-24,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,Net Zero Banking Alliance
Bank of Queensland,queensland,,https://www.boq.com.au/,,Australia,Asia-Pacific Group,,,Financial Institution,,71292000000,18/09/2024,,Did not - joined less than 12 months ago,,,Sep-24,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,Net Zero Banking Alliance
Crédit Mutuel Arkéa,mutuel arkea,,https://www.cm-arkea.com/banque/assurance/credit/mutuel/c_13273/en/home-page?nay=public,,France,Western European and Others Group (WEOG),,,Financial Institution,,194204000000,15/11/2022,,Own Website,,,Sep-24,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,Net Zero Banking Alliance
Eurobank Holdings SA,eurobank,,https://www.eurobankholdings.gr/en,,Greece,Western European and Others Group (WEOG),,,Financial Institution,,88774000000,12/03/2024,,Did not - joined less than 12 months ago,,,Sep-24,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,Net Zero Banking Alliance
Nidaros Sparebank,nidaros,,https://www.nidaros-sparebank.no/,,Norway,Western European and Others Group (WEOG),,,Financial Institution,,410223034,22/01/2024,,Own Website,,,Sep-24,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,Net Zero Banking Alliance
Modern College of Business and Science,modern college science,,www.mcbs.edu.om,,Oman,Middle East,,<250M,Higher Education,,,24/03/2024,,Did not - joined less than 12 months ago,,,Sep-24,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Race to Zero for Universities and Colleges
Accountech,accountech,,https://www.accountechsolutions.co.uk/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,19/09/2024,,,,,Sep-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Tech Zero
Allye Energy,allye energy,,https://allye.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Manufacturing,,25/07/2024,,,,,Sep-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Tech Zero
Brightest,brightest,,https://www.brightest.io,,United States of America,Western European and Others Group (WEOG),,,SME,Other,,18/09/2024,,,,,Sep-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Tech Zero
Coin for Change,coin change,,https://www.coinforchange.xyz/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,18/09/2024,,,,,Sep-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Tech Zero
Connective Technologies,connective technologies,,http://connectivetechnologies.co.uk,8460651,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,25/07/2024,,Did not - joined less than 12 months ago,,,Sep-24,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,,"Tech Zero, SME Climate Hub"
Deep Green Energy,deep green energy,,https://deepgreen.energy/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,15/08/2024,,,,,Sep-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Tech Zero
Future,future,,http://www.future.green,,United States of America,Western European and Others Group (WEOG),,,SME,Other,,31/05/2024,,,,,Sep-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Tech Zero
Jianfeng Consulting Limited,jianfeng consulting,,https://www.jianfengconsulting.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,19/09/2024,,,,,Sep-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Tech Zero
Lingly,lingly,,https://lingly.ai/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,17/06/2024,,,,,Sep-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Tech Zero
madeby.studio,madeby.studio,,https://madeby.studio,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,07/10/2024,,,,,Sep-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Tech Zero
Marine Zero,marine zero,,https://marinezero.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,25/06/2024,,,,,Sep-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Tech Zero
Mobius,mobius,,https://www.mobiussolutions.co,,United States of America,Western European and Others Group (WEOG),,,SME,Services,,31/07/2024,,,,,Sep-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Tech Zero
NUED©Creative Sustainability,nued creative sustainability,,https://www.nued.se,559217-5268,Sweden,Western European and Others Group (WEOG),,,SME,Services,,18/09/2024,,Did not - joined less than 12 months ago,,,Sep-24,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,,"Tech Zero, SME Climate Hub"
Opna,opna,,https://opna.earth/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,04/10/2024,,,,,Sep-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Tech Zero
Propflo,propflo,,https://propflo.co.uk/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,18/09/2024,,,,,Sep-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Tech Zero
QBS CO,qbs,,https://www.qbsco.net,,United Kingdom,Western European and Others Group (WEOG),,,Company,Services,,18/09/2024,,,,,Sep-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Tech Zero
Raylo,raylo,,https://www.raylo.com/about,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,18/09/2024,,,,,Sep-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Tech Zero
RTN Zero Consulting Ltd,rtn zero consulting,,https://www.rtnzeroconsulting.com/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,15/08/2024,,,,,Sep-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Tech Zero
SeaLogs,sealogs,,http://www.sealogs.com,,New Zealand,Asia-Pacific Group,,,SME,Other,,17/06/2024,,,,,Sep-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Tech Zero
Seewise AI,seewise ai,,http://www.seewise.ai,,United States of America,Western European and Others Group (WEOG),,,SME,Other,,22/04/2024,,,,,Sep-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Tech Zero
Sendient Limited,sendient,,https://sendient.ai,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,18/09/2024,,,,,Sep-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Tech Zero
Supersprout,supersprout,,https://www.supersprout.io,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,18/09/2024,,,,,Sep-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Tech Zero
The DM Lab,dm lab,,https://thedmlab.com/,7291011,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,18/07/2024,,Did not - joined less than 12 months ago,,,Sep-24,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,,"Tech Zero, SME Climate Hub"
TORTUS AI,tortus ai,,https://tortus.ai/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,19/09/2024,,,,,Sep-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Tech Zero
Tribus Clean Energy,tribus clean energy,,https://tribus.energy/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Power generation,,20/09/2024,,,,,Sep-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Tech Zero
UpGreen,upgreen,,https://www.getupgreen.com/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,18/09/2024,,,,,Sep-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Tech Zero
Venditan,venditan,,http://www.venditan.com/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,17/07/2024,,,,,Sep-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Tech Zero
Town of Windsor,town windsor,,https://www.townofwindsor.ca.gov/,,United States of America,Western European and Others Group (WEOG),,,City,,,27/02/2024,,Did not - joined less than 12 months ago,,,Sep-24,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Cities Race to Zero
Fushe-Arrez,fushe-arrez,,https://en.wikipedia.org/wiki/Fush%C3%AB-Arr%C3%ABz,,Albania,Eastern European Group,,,City,,,20/07/2024,,Did not - joined less than 12 months ago,,,Sep-24,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Cities Race to Zero
Mirchawala's Hub of Accountancy,mirchawala's hub accountancy,,https://mirchawala.com/,,India,Asia-Pacific Group,,,Higher Education,,,25/03/2024,,Did not - joined less than 12 months ago,,,Sep-24,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Race to Zero for Universities and Colleges
Swiss Solidarity (Chaîne du Bonheur),swiss solidarity chaine bonheur,,https://www.swiss-solidarity.org/,,Switzerland,Western European and Others Group (WEOG),,,Other,Other,,01/12/2023,,Did not - joined less than 12 months ago,,,Sep-24,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Climate Action Accelerator
Les Sauveteurs en Mer,les sauveteurs mer,,https://www.snsm.org/,,France,Western European and Others Group (WEOG),,,Other,Other,,01/11/2023,,Did not - joined less than 12 months ago,,"Humanitarian organisation. 
The SNSM undertakes to:
1. Evaluate, based on a carbon emissions assessment, the conditions for reducing its greenhouse gas emissions (GHG emissions).
2. Participate in the 3 pillars of the Initiative (capacity building – champion – community of practice).
3. Report each year, on both its greenhouse gas emissions and the progress made in terms of reduction, across all 3 scopes following the Greenhouse Gas Protocol (GHG) or the Bilan Carbone of the French ADEME.
4. Share the objectives of the partnership with the Initiative, promote its strategic value and facilitate the mobilization of resources, for the development and strengthening of the Initiative.

SNSM will begin to elaborate its environmental roadmap in 2024.",Sep-24,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Climate Action Accelerator
Union for International Cancer Control,cancer control,,https://www.uicc.org/,,Switzerland,Western European and Others Group (WEOG),,,Other,Other,,23/08/2023,,Did not - joined less than 12 months ago,,Humanitarian sector organisation.,Sep-24,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Climate Action Accelerator
European Scout Region of the World Organization of the Scout Movement,european scout region world organization scout movement,,https://www.scout.org/where-we-work/regions/europe,,Switzerland,Western European and Others Group (WEOG),,,Higher Education,Other,,15/09/2023,,Did not - joined less than 12 months ago,,"Educational sector.
WOSG has adopted a quantified and science-based decarbonisation target of -50% of its direct and indirect carbon emissions by 2030, compared to an established baseline, based on the scientific consensus and in line with the objectives of the Paris Agreement and on a ‘net zero emissions’ trajectory by 2050, without accounting for carbon offsets in its reduction claims. They have made a commitment to transparency with regards to publicly sharing emissions measurements and the progress made in reduction efforts.",Sep-24,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Climate Action Accelerator
Unitaid,unitaid,,https://unitaid.org/#en,,Switzerland,Western European and Others Group (WEOG),,,Healthcare,"Biotech, health care & pharma",,21/07/2023,,Did not - joined less than 12 months ago,,Climate and health is a key priority in Unitaid’s 2023-2027 Strategy. They are working to introduce health products with lower environmental footprints and that support increased resilience for health systems to better adapt to a changing climate.,Sep-24,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Climate Action Accelerator
Instituto Oncológico Ospedale Inoos S.A.S,instituto oncologico ospedale inoos,,https://inoos.com.co/,,Colombia,Latin American and Caribbean Group (GRULAC),,,Healthcare,"Biotech, health care & pharma",,27/06/2024,,Did not - joined less than 12 months ago,,,Sep-24,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Health Care without Harm
Echuca Regional Health,echuca regional health,,https://www.nari.net.au/echuca-regional-health-the-hopwood-centre,,Australia,Asia-Pacific Group,,,Healthcare,"Biotech, health care & pharma",,12/06/2024,,Did not - joined less than 12 months ago,,,Sep-24,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Health Care without Harm
Retinher,retinher,,https://retinher.com/,,Colombia,Latin American and Caribbean Group (GRULAC),,,Healthcare,"Biotech, health care & pharma",,19/05/2024,,Did not - joined less than 12 months ago,,,Sep-24,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Health Care without Harm
"CSI Lombard Mission Hospital, Udupi",csi lombard mission hospital udupi,,https://www.lombardhospital.in/,,India,Asia-Pacific Group,,,Healthcare,"Biotech, health care & pharma",,06/07/2024,,Did not - joined less than 12 months ago,,,Sep-24,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Health Care without Harm
Clínica Imbanaco S.A.S,clinica imbanaco,,https://www.imbanaco.com/,,Colombia,Latin American and Caribbean Group (GRULAC),,,Healthcare,"Biotech, health care & pharma",,26/06/2024,,Did not - joined less than 12 months ago,,,Sep-24,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Health Care without Harm
Liga Colombiana Contra el Cáncer,liga colombiana contra el cancer,,www.imbanaco.com,254900B3WB4OGRB7HM13,Colombia,Latin American and Caribbean Group (GRULAC),,,Healthcare,"Biotech, health care & pharma",,06/08/2024,Did not - joined less than 12 months ago,Did not - joined less than 12 months ago,,,Sep-24,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Health Care without Harm
Derby College Group,derby college,,https://www.derby-college.ac.uk/,,United Kingdom,Western European and Others Group (WEOG),,,Higher Education,,,27/03/2024,,Did not - joined less than 12 months ago,,,Sep-24,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Race to Zero for Universities and Colleges
Centro de Capacitación y Calidad en Hermosillo Sonora.,centro capacitacion calidad hermosillo sonora.,,,,Mexico,Latin American and Caribbean Group (GRULAC),,,Healthcare,"Biotech, health care & pharma",,30/09/2024,,Did not - joined less than 12 months ago,,,Sep-24,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Health Care without Harm
Hospital Bukit Mertajam,hospital bukit mertajam,,https://jknpenang.moh.gov.my/hbm/index.php/hubungi-kami/direktori-staff/hospital-bukit-mertajam,,Malaysia,Asia-Pacific Group,,,Healthcare,"Biotech, health care & pharma",,30/08/2024,,Did not - joined less than 12 months ago,,,Sep-24,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Health Care without Harm
Hospital Pablo Tobón Uribe,hospital pablo tobon uribe,,www.hptu.org,,Colombia,Latin American and Caribbean Group (GRULAC),,,Healthcare,"Biotech, health care & pharma",,08/10/2024,,Did not - joined less than 12 months ago,,,Sep-24,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Health Care without Harm
Metro South Health,metro south health,,www.metrosouth.health.qld.gov.au/,,Australia,Asia-Pacific Group,,,Healthcare,"Biotech, health care & pharma",,20/08/2024,,Did not - joined less than 12 months ago,,,Sep-24,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Health Care without Harm
Mollet Health Foundation,mollet health,,www.fsm.cat,,Spain,Western European and Others Group (WEOG),,,Healthcare,"Biotech, health care & pharma",,12/09/2024,,Did not - joined less than 12 months ago,,,Sep-24,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Health Care without Harm
Sawanpracharak Hospital,sawanpracharak hospital,,www.spr.moph.go.th/,,Thailand,Asia-Pacific Group,,,Healthcare,"Biotech, health care & pharma",,06/08/2024,,Did not - joined less than 12 months ago,,,Sep-24,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Health Care without Harm
PATH,path,,https://www.path.org/,,United States of America,Western European and Others Group (WEOG),,,Healthcare,,,22/08/2024,,Did not - joined less than 12 months ago,,,Sep-24,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Climate Action Accelerator
University of Warith Al-Anbiyaa,university warith al-anbiyaa,,https://uowa.edu.iq/,,Iraq,Middle East,,,Higher Education,,,31/03/2024,,Did not - joined less than 12 months ago,,,Sep-24,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Race to Zero for Universities and Colleges
2 Sisters Storteboom B.V.,2 sisters storteboom,,,,Netherlands,Western European and Others Group (WEOG),,,Company,Food Production - Animal Source Food Production,,31/07/2026,,,,Net-zero commitment,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
7N A/S,7n,,,,Denmark,Western European and Others Group (WEOG),,,Company,Software and Services,,31/07/2026,,,,Net-zero commitment,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
A-Gas International,a-gas,,,,United Kingdom,Western European and Others Group (WEOG),,,Company,Chemicals,,30/06/2026,,,,Net-zero commitment,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
AARTI STEEL INTERNATIONAL LIMITED,aarti steel,,,,India,Asia-Pacific Group,,,Company,"Mining - Iron, Aluminum, Other Metals",,30/09/2026,,,,Net-zero commitment,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
ABB,abb,GCAP6,https://global.abb/group/en/technology/corporate-research-centers/switzerland,5493000LKVGOO9PELI61,Switzerland,Western European and Others Group (WEOG),,,Company,Electrical Equipment and Machinery,,27/06/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Abellio East Midlands Limited,abellio east midlands,,,,United Kingdom,Western European and Others Group (WEOG),,,Company,Ground Transportation - Railroads Transportation,,30/06/2026,,,,Net-zero commitment,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Accenture,accenture,,,,Ireland,Western European and Others Group (WEOG),,,Company,Professional Services,,13/06/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Access Infinity Ltd,access infinity,,https://accessinfinity.com/,GB191347695,United Kingdom,Western European and Others Group (WEOG),,,SME,Professional Services,,15/08/2024,Did not - joined less than 12 months ago,Did not - joined less than 12 months ago,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,,,,"SBTi, SME Climate Hub"
AccorInvest Group S.A.,accorinvest,,https://www.accorinvest.com/environmental-social-and-governance/,2221000MD2YP7WLTNC52,Luxembourg,Western European and Others Group (WEOG),,,Company,"Hotels, Restaurants and Leisure, and Tourism Services",,29/08/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Addtech AB,addtech,,addtech.com,549300QZ5U2IDRHPWL60,Sweden,Western European and Others Group (WEOG),,,Company,Electrical Equipment and Machinery,,16/05/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Adecco Group AG,adecco,GCAP120,www.adeccogroup.com,NI14Y5UMU60O7JE9P611,Switzerland,Western European and Others Group (WEOG),,,Company,Professional Services,,04/07/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
"Adobe, Inc.",adobe,,adobeinc.com,FU4LY2G4933NH2E1CP29,United States of America,Western European and Others Group (WEOG),,,Company,Software and Services,,08/08/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
"Adtran Holdings, Inc.",adtran,,,549300VV36J86CRRWF77,United States of America,Western European and Others Group (WEOG),,,Company,Technology Hardware and Equipment,,08/08/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Advania Norge AS,advania norge,,,,Norway,Western European and Others Group (WEOG),,,Company,Software and Services,,31/08/2026,,,,Net-zero commitment,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Advant Sweden AB,advant sweden,,,,Sweden,Western European and Others Group (WEOG),,,SME,Media,,13/06/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
AdVini,advini,,,,France,Western European and Others Group (WEOG),,,Company,Food and Beverage Processing,,31/08/2026,,,,Net-zero commitment,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Aecon Group Inc.,aecon,,,549300VROCXVWXFR8B83,Canada,Western European and Others Group (WEOG),,,Company,Construction and Engineering,,16/05/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
AENA S.M.E. S.A.,aena s.m.e.,GCAP25,https://www.aena.es/en/shareholders-and-investors.html,959800R7QMXKF0NFMT29,Spain,Western European and Others Group (WEOG),,,Company,Air Transportation - Airport Services,,06/06/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
AeroSafe Global,aerosafe global,,,,United States of America,Western European and Others Group (WEOG),,,Company,"Trading Companies and Distributors, and Commercial Services and Supplies",,30/09/2026,,,,Net-zero commitment,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
"Aetion, Inc.",aetion,,,,United States of America,Western European and Others Group (WEOG),,,Company,Software and Services,,30/09/2026,,,,Net-zero commitment,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Agendi Inc,agendi,GCAP20465,https://agendi.co/,,United States of America,Western European and Others Group (WEOG),,,SME,Professional Services,,23/05/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Agria Pet Insurance,agria pet insurance,,,,United Kingdom,Western European and Others Group (WEOG),,,Company,"Banks, Diverse Financials, Insurance",,30/06/2026,,,,Net-zero commitment,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Ahlsell AB,ahlsell,,https://www.ahlsell.com/,,Sweden,Western European and Others Group (WEOG),,,Company,Retailing,,22/08/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
"Aigües de Barcelona, Empresa Metropolitana de Gestió del Cicle Integral de l'Aigua, S.A.",aigues barcelona metropolitana gestio del cicle integral l'aigua,,"https://www.aiguesdebarcelona.cat/es/web/ab-corporativa/
https://www.aiguesdebarcelona.cat/documents/42802/481302/AB-2021-SUSTAINABILITY-REPORT.pdf/",549300EYJYN8LA85HE50,Spain,Western European and Others Group (WEOG),,,Company,Water Utilities,,18/04/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Al Maryah Community Bank,al maryah,,,,United Arab Emirates,Asia-Pacific Group,,,Financial Institution,"Banks, Diverse Financials, Insurance",,30/09/2026,,,,Net-zero commitment,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
AL-RAHIM TEXTILE INDUSTRIES,al-rahim textile industries,GCAP25031,alrahimtextile.com,,Pakistan,Asia-Pacific Group,,,Company,"Textiles, Apparel, Footwear and Luxury Goods",,15/08/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
ALDI SOUTH Group,aldi south,,,,Austria,Western European and Others Group (WEOG),,,Company,Retailing,,26/09/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Alembic Pharmaceuticals Limited,alembic pharmaceuticals,,,335800PM173KNG818V30,India,Asia-Pacific Group,,,Company,"Pharmaceuticals, Biotechnology and Life Sciences",,31/08/2026,,,,Net-zero commitment,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Alfen N.V.,alfen,,https://www.alfen.com,724500HDW6IWR9J5YT90,Netherlands,Western European and Others Group (WEOG),,,Company,Electrical Equipment and Machinery,,05/09/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Algebris Investments,algebris investments,GCAP20472,https://www.algebris.com/,5493003WOFC8QHHZFY55,United Kingdom,Western European and Others Group (WEOG),,,Financial Institution,,,30/06/2026,CDP,,,Net-zero commitment,Sep-24,,,,,,,,,,Yes,,,,,,,,,Yes,,,,,,,,"SBTi, Net Zero Asset Managers Initiative"
Alperia SpA,alperia,GCAP3403,www.alperiagroup.eu,815600117D7977461B75,Italy,Western European and Others Group (WEOG),,,Company,"Electric Utilities and Independent Power Producers and Energy Traders (including Fossil, Alternative and Nuclear Energy)",,04/07/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Alpha Networks Inc.,alpha networks,,,,"Taiwan, a province of China",Asia-Pacific Group,,,Company,Technology Hardware and Equipment,,31/08/2026,,,,Net-zero commitment,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
ALTANA AG,altana,,,5299000MBWJGADFIRW11,Germany,Western European and Others Group (WEOG),,,Company,Chemicals,,31/08/2026,,,,Net-zero commitment,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Alvarez & Marsal,alvarez marsal,,,,United States of America,Western European and Others Group (WEOG),,,Company,Professional Services,,31/07/2026,,,,Net-zero commitment,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Amadeus IT Group,amadeus it,GCAP185,amadeus.net,9598004A3FTY3TEHHN09,Spain,Western European and Others Group (WEOG),,,Company,Software and Services,,25/07/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
